<< TABLE >>

+-------------------------+------------------------------+-----------------------------+------------------------------+----------------------+------------------------------+------------------------------------+
|          Index          |             Word             |          Frequency          |              TF              |          DF          |             IDF              |          Length of vector          |
+-------------------------+------------------------------+-----------------------------+------------------------------+----------------------+------------------------------+------------------------------------+
|            0            |           regular            |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
|            1            |           bottling           |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
|            2            |             2012             |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
|            3            |            bring             |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
|            4            |            tannic            |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
|            5            |            rustic            |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
|            6            |            earthy            |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
|            7            |            herbal            |              1              |             1.0              |          2           |          0.69897000          |             0.22259690             |
|            8            |          characteri          |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
|            9            |              be              |              3              |          1.47712125          |          7           |          0.15490195          |             0.32880261             |
|            10           |          pleasantly          |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
|            11           |           unfussy            |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
|            12           |           country            |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
|            13           |             wine             |              1              |             1.0              |          5           |          0.30102999          |             0.22259690             |
|            14           |             good             |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
|            15           |          companion           |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
|            16           |            hearty            |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
|            17           |            winter            |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
|            18           |             stew             |              1              |             1.0              |          1           |             1.0              |             0.22259690             |
+-------------------------+------------------------------+-----------------------------+------------------------------+----------------------+------------------------------+------------------------------------+



